params,score,return,sharpe,fees,trades
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.0139927498851202,0.13848479321821294,1.3848479321821294,1434.0983715041916,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.0139927498851202,0.13848479321821294,1.3848479321821294,1434.0983715041916,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.02544143627372,0.13927723829921224,1.3927723829921224,1496.5565600788832,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.025441436273729,0.1392772382992118,1.392772382992118,1496.556560078883,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.058420193828573,0.13631317795224795,1.3631317795224795,1431.4824756911225,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.058420193828573,0.13631317795224795,1.3631317795224795,1431.4824756911225,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.14589297358405,0.1320894960669634,1.320894960669634,1428.7597113668917,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.14589297358405,0.1320894960669634,1.320894960669634,1428.7597113668917,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.163540495379441,0.13122715973683974,1.3122715973683974,1427.7334746483134,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.163540495379441,0.13122715973683974,1.3122715973683974,1427.7334746483134,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-2.2070308687968696,0.1509481694649708,1.509481694649708,2445.2772876824547,20
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.2766899207726095,0.12706990313319744,1.2706990313319744,1485.2043607878525,15
"{'ma_type': 'EMA', 'fast_ma_window': 5, 'slow_ma_window': 50, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.2766899207726095,0.12706990313319744,1.2706990313319744,1485.2043607878525,15
