Stock_A,Stock_B,Stock_C,Stock_D,Stock_E
116.04424463504351,71.37619195648905,117.0831651790216,186.50188462940355,148.58529762216912
117.33191326431299,70.69154929122948,115.32916328823548,187.19182083369964,150.9872742646498
117.03166621343388,71.52708661045193,116.49937932803908,186.85221637889688,148.29631612368775
117.62486218370725,72.52367989835676,115.9879374545784,192.40010246262116,151.39573363878284
115.61966264671733,70.3424158444268,115.36151900549014,188.46593304005904,151.0433783596439
117.95452146154474,71.61477576717692,115.2652913806158,185.4053322475705,148.86329696473123
116.82683337768265,71.37216998069557,113.5466995383294,185.99869838491279,148.98708110191768
117.66021567776794,70.85406424401201,116.89210602114795,187.31850698437427,153.65179073664487
117.18904002027226,70.7568238669297,114.71391753159666,182.0368620999741,151.44790372117907
117.73837720311847,71.27561949792286,116.13749662714497,185.05341041628094,150.80492855327736
117.21536061443221,70.34300178088314,115.38507057289206,186.44554881984635,151.7658666360408
118.10812050478812,69.60366563686502,113.3034335501864,188.945314974798,147.3912782426105
115.1625768242312,71.26564403240877,120.31069691648854,187.15187976222774,149.7747423642085
116.21501427215998,70.53677233118538,115.64623930881734,189.0710550577758,146.14059061280008
114.99337446014502,72.34172766322015,118.97877083904511,187.15640063931608,150.91063076119107
117.8533015179735,70.7062061118395,118.02789545916244,187.51846264100305,148.5226388229511
117.9462431448716,71.29236664223639,115.92556560701215,189.86204892032322,149.11777324570255
119.2209363905666,71.12515754905212,118.36503143121217,185.7166365421983,152.95030741047927
118.6294953928823,71.32651324319494,116.48473273767645,184.02467121062264,154.7661533461744
118.1907636384958,70.79244455158113,119.3131609666467,184.5040455940697,149.3809158752592
115.98248579806656,70.60728071204467,115.67227917533482,187.00159181010358,148.9398639115961
115.88252260940264,71.00969976304901,117.6355915603325,185.54101344879018,147.9266053118893
116.5523813306556,70.75807580314094,115.63955525504879,185.84301759937696,151.93549964818433
117.84740068339043,71.66700491068202,115.84460955639389,186.07745680471743,148.65061259850853
117.75616522015497,71.44771695346405,116.14072765700882,185.1657516424987,148.04651341987707
118.32792697101135,70.75746458754126,114.06290671507583,179.93942304490398,145.36905784443667
116.9716369019472,70.33437623414403,118.80320895578836,187.82873110081525,147.96882077804048
114.69218265534447,70.7347228676595,115.48515855080505,182.5820639291422,147.86898680059102
117.8780323438683,70.31417338096757,113.70150255651032,187.39889664660342,147.38231990730137
116.91764606594359,71.07929464306756,117.32877035681335,186.5755445272126,154.5421920348367
116.84921221961258,70.5296221845571,118.36423395878028,183.6624537430665,150.4787046475941
116.50626815198191,71.54595350404972,114.636129012725,185.4787806107502,152.6161159211596
116.97374760889346,70.82748436784414,115.31795452346076,181.3543692338061,149.80849287606685
117.26271545261751,71.76437915799306,118.15774666129349,187.58428388194588,153.14167350567115
117.25022294195193,71.2718733202655,116.72436165791376,183.04286337350447,147.20753323151015
116.35328152332848,72.25403581468093,115.08431399769518,186.32588072224954,152.68817464129975
117.95448925536424,71.21943236995679,117.53418846484995,182.1221973538648,152.06219568950794
120.08132051806089,70.90194484388172,119.68043860064274,183.15284355840353,145.3360433974378
116.43383764157251,70.96375055222471,119.29686696954462,186.03110082630027,151.56457753046752
113.97195067492747,71.10875775985996,115.99548326414093,186.4572429639768,144.24887428481046
117.8719060064062,70.82023380262264,113.52721690901119,182.39019429350876,150.80652754469276
117.68946503378952,70.53279375584712,114.85335819557271,183.5918645149915,150.31461611386067
114.97113573874837,72.06066816384738,116.89646413510943,185.07883670190418,143.39826645230804
115.87749301430136,71.32010906681103,115.80096335394441,189.51901632573473,143.07763394628108
117.56807030936719,70.25293207042691,115.20691689958285,186.50804208719626,150.17456777474976
113.96269768568158,71.27903234495521,114.64077411929946,188.95165736584912,145.63831209395664
117.1670189793747,71.49082102616327,116.43448717369905,188.55359698204657,151.52010525129145
